ऎ	0x90e	devanagari_letter_short_e	঎	0x98e	False	਎	0xa0e	False	઎	0xa8e	False	଎	0xb0e	False	எ	0xb8e	tamil_letter_e	ఎ	0xc0e	telugu_letter_e	ಎ	0xc8e	kannada_letter_e	എ	0xd0e	malayalam_letter_e	ඎ	0xd8e	sinhala_letter_iruuyanna	
ए	0x90f	devanagari_letter_e	এ	0x98f	bengali_letter_e	ਏ	0xa0f	gurmukhi_letter_ee	એ	0xa8f	gujarati_letter_e	ଏ	0xb0f	oriya_letter_e	ஏ	0xb8f	tamil_letter_ee	ఏ	0xc0f	telugu_letter_ee	ಏ	0xc8f	kannada_letter_ee	ഏ	0xd0f	malayalam_letter_ee	ඏ	0xd8f	sinhala_letter_iluyanna	
ऐ	0x910	devanagari_letter_ai	ঐ	0x990	bengali_letter_ai	ਐ	0xa10	gurmukhi_letter_ai	ઐ	0xa90	gujarati_letter_ai	ଐ	0xb10	oriya_letter_ai	ஐ	0xb90	tamil_letter_ai	ఐ	0xc10	telugu_letter_ai	ಐ	0xc90	kannada_letter_ai	ഐ	0xd10	malayalam_letter_ai	ඐ	0xd90	sinhala_letter_iluuyanna	
ऑ	0x911	devanagari_letter_candra_o	঑	0x991	False	਑	0xa11	False	ઑ	0xa91	gujarati_vowel_candra_o	଑	0xb11	False	஑	0xb91	False	఑	0xc11	False	಑	0xc91	False	഑	0xd11	False	එ	0xd91	sinhala_letter_eyanna	
ऒ	0x912	devanagari_letter_short_o	঒	0x992	False	਒	0xa12	False	઒	0xa92	False	଒	0xb12	False	ஒ	0xb92	tamil_letter_o	ఒ	0xc12	telugu_letter_o	ಒ	0xc92	kannada_letter_o	ഒ	0xd12	malayalam_letter_o	ඒ	0xd92	sinhala_letter_eeyanna	
ओ	0x913	devanagari_letter_o	ও	0x993	bengali_letter_o	ਓ	0xa13	gurmukhi_letter_oo	ઓ	0xa93	gujarati_letter_o	ଓ	0xb13	oriya_letter_o	ஓ	0xb93	tamil_letter_oo	ఓ	0xc13	telugu_letter_oo	ಓ	0xc93	kannada_letter_oo	ഓ	0xd13	malayalam_letter_oo	ඓ	0xd93	sinhala_letter_aiyanna	
औ	0x914	devanagari_letter_au	ঔ	0x994	bengali_letter_au	ਔ	0xa14	gurmukhi_letter_au	ઔ	0xa94	gujarati_letter_au	ଔ	0xb14	oriya_letter_au	ஔ	0xb94	tamil_letter_au	ఔ	0xc14	telugu_letter_au	ಔ	0xc94	kannada_letter_au	ഔ	0xd14	malayalam_letter_au	ඔ	0xd94	sinhala_letter_oyanna	
क	0x915	devanagari_letter_ka	ক	0x995	bengali_letter_ka	ਕ	0xa15	gurmukhi_letter_ka	ક	0xa95	gujarati_letter_ka	କ	0xb15	oriya_letter_ka	க	0xb95	tamil_letter_ka	క	0xc15	telugu_letter_ka	ಕ	0xc95	kannada_letter_ka	ക	0xd15	malayalam_letter_ka	ඕ	0xd95	sinhala_letter_ooyanna	
ख	0x916	devanagari_letter_kha	খ	0x996	bengali_letter_kha	ਖ	0xa16	gurmukhi_letter_kha	ખ	0xa96	gujarati_letter_kha	ଖ	0xb16	oriya_letter_kha	஖	0xb96	False	ఖ	0xc16	telugu_letter_kha	ಖ	0xc96	kannada_letter_kha	ഖ	0xd16	malayalam_letter_kha	ඖ	0xd96	sinhala_letter_auyanna	
ग	0x917	devanagari_letter_ga	গ	0x997	bengali_letter_ga	ਗ	0xa17	gurmukhi_letter_ga	ગ	0xa97	gujarati_letter_ga	ଗ	0xb17	oriya_letter_ga	஗	0xb97	False	గ	0xc17	telugu_letter_ga	ಗ	0xc97	kannada_letter_ga	ഗ	0xd17	malayalam_letter_ga	඗	0xd97	False	
घ	0x918	devanagari_letter_gha	ঘ	0x998	bengali_letter_gha	ਘ	0xa18	gurmukhi_letter_gha	ઘ	0xa98	gujarati_letter_gha	ଘ	0xb18	oriya_letter_gha	஘	0xb98	False	ఘ	0xc18	telugu_letter_gha	ಘ	0xc98	kannada_letter_gha	ഘ	0xd18	malayalam_letter_gha	඘	0xd98	False	
ङ	0x919	devanagari_letter_nga	ঙ	0x999	bengali_letter_nga	ਙ	0xa19	gurmukhi_letter_nga	ઙ	0xa99	gujarati_letter_nga	ଙ	0xb19	oriya_letter_nga	ங	0xb99	tamil_letter_nga	ఙ	0xc19	telugu_letter_nga	ಙ	0xc99	kannada_letter_nga	ങ	0xd19	malayalam_letter_nga	඙	0xd99	False	
च	0x91a	devanagari_letter_ca	চ	0x99a	bengali_letter_ca	ਚ	0xa1a	gurmukhi_letter_ca	ચ	0xa9a	gujarati_letter_ca	ଚ	0xb1a	oriya_letter_ca	ச	0xb9a	tamil_letter_ca	చ	0xc1a	telugu_letter_ca	ಚ	0xc9a	kannada_letter_ca	ച	0xd1a	malayalam_letter_ca	ක	0xd9a	sinhala_letter_alpapraana_kayanna	
छ	0x91b	devanagari_letter_cha	ছ	0x99b	bengali_letter_cha	ਛ	0xa1b	gurmukhi_letter_cha	છ	0xa9b	gujarati_letter_cha	ଛ	0xb1b	oriya_letter_cha	஛	0xb9b	False	ఛ	0xc1b	telugu_letter_cha	ಛ	0xc9b	kannada_letter_cha	ഛ	0xd1b	malayalam_letter_cha	ඛ	0xd9b	sinhala_letter_mahaapraana_kayanna	
ज	0x91c	devanagari_letter_ja	জ	0x99c	bengali_letter_ja	ਜ	0xa1c	gurmukhi_letter_ja	જ	0xa9c	gujarati_letter_ja	ଜ	0xb1c	oriya_letter_ja	ஜ	0xb9c	tamil_letter_ja	జ	0xc1c	telugu_letter_ja	ಜ	0xc9c	kannada_letter_ja	ജ	0xd1c	malayalam_letter_ja	ග	0xd9c	sinhala_letter_alpapraana_gayanna	
झ	0x91d	devanagari_letter_jha	ঝ	0x99d	bengali_letter_jha	ਝ	0xa1d	gurmukhi_letter_jha	ઝ	0xa9d	gujarati_letter_jha	ଝ	0xb1d	oriya_letter_jha	஝	0xb9d	False	ఝ	0xc1d	telugu_letter_jha	ಝ	0xc9d	kannada_letter_jha	ഝ	0xd1d	malayalam_letter_jha	ඝ	0xd9d	sinhala_letter_mahaapraana_gayanna	
ञ	0x91e	devanagari_letter_nya	ঞ	0x99e	bengali_letter_nya	ਞ	0xa1e	gurmukhi_letter_nya	ઞ	0xa9e	gujarati_letter_nya	ଞ	0xb1e	oriya_letter_nya	ஞ	0xb9e	tamil_letter_nya	ఞ	0xc1e	telugu_letter_nya	ಞ	0xc9e	kannada_letter_nya	ഞ	0xd1e	malayalam_letter_nya	ඞ	0xd9e	sinhala_letter_kantaja_naasikyaya	
ट	0x91f	devanagari_letter_tta	ট	0x99f	bengali_letter_tta	ਟ	0xa1f	gurmukhi_letter_tta	ટ	0xa9f	gujarati_letter_tta	ଟ	0xb1f	oriya_letter_tta	ட	0xb9f	tamil_letter_tta	ట	0xc1f	telugu_letter_tta	ಟ	0xc9f	kannada_letter_tta	ട	0xd1f	malayalam_letter_tta	ඟ	0xd9f	sinhala_letter_sanyaka_gayanna	
ठ	0x920	devanagari_letter_ttha	ঠ	0x9a0	bengali_letter_ttha	ਠ	0xa20	gurmukhi_letter_ttha	ઠ	0xaa0	gujarati_letter_ttha	ଠ	0xb20	oriya_letter_ttha	஠	0xba0	False	ఠ	0xc20	telugu_letter_ttha	ಠ	0xca0	kannada_letter_ttha	ഠ	0xd20	malayalam_letter_ttha	ච	0xda0	sinhala_letter_alpapraana_cayanna	
ड	0x921	devanagari_letter_dda	ড	0x9a1	bengali_letter_dda	ਡ	0xa21	gurmukhi_letter_dda	ડ	0xaa1	gujarati_letter_dda	ଡ	0xb21	oriya_letter_dda	஡	0xba1	False	డ	0xc21	telugu_letter_dda	ಡ	0xca1	kannada_letter_dda	ഡ	0xd21	malayalam_letter_dda	ඡ	0xda1	sinhala_letter_mahaapraana_cayanna	
ढ	0x922	devanagari_letter_ddha	ঢ	0x9a2	bengali_letter_ddha	ਢ	0xa22	gurmukhi_letter_ddha	ઢ	0xaa2	gujarati_letter_ddha	ଢ	0xb22	oriya_letter_ddha	஢	0xba2	False	ఢ	0xc22	telugu_letter_ddha	ಢ	0xca2	kannada_letter_ddha	ഢ	0xd22	malayalam_letter_ddha	ජ	0xda2	sinhala_letter_alpapraana_jayanna	
ण	0x923	devanagari_letter_nna	ণ	0x9a3	bengali_letter_nna	ਣ	0xa23	gurmukhi_letter_nna	ણ	0xaa3	gujarati_letter_nna	ଣ	0xb23	oriya_letter_nna	ண	0xba3	tamil_letter_nna	ణ	0xc23	telugu_letter_nna	ಣ	0xca3	kannada_letter_nna	ണ	0xd23	malayalam_letter_nna	ඣ	0xda3	sinhala_letter_mahaapraana_jayanna	
त	0x924	devanagari_letter_ta	ত	0x9a4	bengali_letter_ta	ਤ	0xa24	gurmukhi_letter_ta	ત	0xaa4	gujarati_letter_ta	ତ	0xb24	oriya_letter_ta	த	0xba4	tamil_letter_ta	త	0xc24	telugu_letter_ta	ತ	0xca4	kannada_letter_ta	ത	0xd24	malayalam_letter_ta	ඤ	0xda4	sinhala_letter_taaluja_naasikyaya	
थ	0x925	devanagari_letter_tha	থ	0x9a5	bengali_letter_tha	ਥ	0xa25	gurmukhi_letter_tha	થ	0xaa5	gujarati_letter_tha	ଥ	0xb25	oriya_letter_tha	஥	0xba5	False	థ	0xc25	telugu_letter_tha	ಥ	0xca5	kannada_letter_tha	ഥ	0xd25	malayalam_letter_tha	ඥ	0xda5	sinhala_letter_taaluja_sanyooga_naaksikyaya	
द	0x926	devanagari_letter_da	দ	0x9a6	bengali_letter_da	ਦ	0xa26	gurmukhi_letter_da	દ	0xaa6	gujarati_letter_da	ଦ	0xb26	oriya_letter_da	஦	0xba6	False	ద	0xc26	telugu_letter_da	ದ	0xca6	kannada_letter_da	ദ	0xd26	malayalam_letter_da	ඦ	0xda6	sinhala_letter_sanyaka_jayanna	
ध	0x927	devanagari_letter_dha	ধ	0x9a7	bengali_letter_dha	ਧ	0xa27	gurmukhi_letter_dha	ધ	0xaa7	gujarati_letter_dha	ଧ	0xb27	oriya_letter_dha	஧	0xba7	False	ధ	0xc27	telugu_letter_dha	ಧ	0xca7	kannada_letter_dha	ധ	0xd27	malayalam_letter_dha	ට	0xda7	sinhala_letter_alpapraana_ttayanna	
न	0x928	devanagari_letter_na	ন	0x9a8	bengali_letter_na	ਨ	0xa28	gurmukhi_letter_na	ન	0xaa8	gujarati_letter_na	ନ	0xb28	oriya_letter_na	ந	0xba8	tamil_letter_na	న	0xc28	telugu_letter_na	ನ	0xca8	kannada_letter_na	ന	0xd28	malayalam_letter_na	ඨ	0xda8	sinhala_letter_mahaapraana_ttayanna	
ऩ	0x929	devanagari_letter_nnna	঩	0x9a9	False	਩	0xa29	False	઩	0xaa9	False	଩	0xb29	False	ன	0xba9	tamil_letter_nnna	఩	0xc29	False	಩	0xca9	False	ഩ	0xd29	malayalam_letter_nnna	ඩ	0xda9	sinhala_letter_alpapraana_ddayanna	
प	0x92a	devanagari_letter_pa	প	0x9aa	bengali_letter_pa	ਪ	0xa2a	gurmukhi_letter_pa	પ	0xaaa	gujarati_letter_pa	ପ	0xb2a	oriya_letter_pa	ப	0xbaa	tamil_letter_pa	ప	0xc2a	telugu_letter_pa	ಪ	0xcaa	kannada_letter_pa	പ	0xd2a	malayalam_letter_pa	ඪ	0xdaa	sinhala_letter_mahaapraana_ddayanna	
फ	0x92b	devanagari_letter_pha	ফ	0x9ab	bengali_letter_pha	ਫ	0xa2b	gurmukhi_letter_pha	ફ	0xaab	gujarati_letter_pha	ଫ	0xb2b	oriya_letter_pha	஫	0xbab	False	ఫ	0xc2b	telugu_letter_pha	ಫ	0xcab	kannada_letter_pha	ഫ	0xd2b	malayalam_letter_pha	ණ	0xdab	sinhala_letter_muurdhaja_nayanna	
ब	0x92c	devanagari_letter_ba	ব	0x9ac	bengali_letter_ba	ਬ	0xa2c	gurmukhi_letter_ba	બ	0xaac	gujarati_letter_ba	ବ	0xb2c	oriya_letter_ba	஬	0xbac	False	బ	0xc2c	telugu_letter_ba	ಬ	0xcac	kannada_letter_ba	ബ	0xd2c	malayalam_letter_ba	ඬ	0xdac	sinhala_letter_sanyaka_ddayanna	
भ	0x92d	devanagari_letter_bha	ভ	0x9ad	bengali_letter_bha	ਭ	0xa2d	gurmukhi_letter_bha	ભ	0xaad	gujarati_letter_bha	ଭ	0xb2d	oriya_letter_bha	஭	0xbad	False	భ	0xc2d	telugu_letter_bha	ಭ	0xcad	kannada_letter_bha	ഭ	0xd2d	malayalam_letter_bha	ත	0xdad	sinhala_letter_alpapraana_tayanna	
म	0x92e	devanagari_letter_ma	ম	0x9ae	bengali_letter_ma	ਮ	0xa2e	gurmukhi_letter_ma	મ	0xaae	gujarati_letter_ma	ମ	0xb2e	oriya_letter_ma	ம	0xbae	tamil_letter_ma	మ	0xc2e	telugu_letter_ma	ಮ	0xcae	kannada_letter_ma	മ	0xd2e	malayalam_letter_ma	ථ	0xdae	sinhala_letter_mahaapraana_tayanna	
य	0x92f	devanagari_letter_ya	য	0x9af	bengali_letter_ya	ਯ	0xa2f	gurmukhi_letter_ya	ય	0xaaf	gujarati_letter_ya	ଯ	0xb2f	oriya_letter_ya	ய	0xbaf	tamil_letter_ya	య	0xc2f	telugu_letter_ya	ಯ	0xcaf	kannada_letter_ya	യ	0xd2f	malayalam_letter_ya	ද	0xdaf	sinhala_letter_alpapraana_dayanna	
र	0x930	devanagari_letter_ra	র	0x9b0	bengali_letter_ra	ਰ	0xa30	gurmukhi_letter_ra	ર	0xab0	gujarati_letter_ra	ର	0xb30	oriya_letter_ra	ர	0xbb0	tamil_letter_ra	ర	0xc30	telugu_letter_ra	ರ	0xcb0	kannada_letter_ra	ര	0xd30	malayalam_letter_ra	ධ	0xdb0	sinhala_letter_mahaapraana_dayanna	
ऱ	0x931	devanagari_letter_rra	঱	0x9b1	False	਱	0xa31	False	઱	0xab1	False	଱	0xb31	False	ற	0xbb1	tamil_letter_rra	ఱ	0xc31	telugu_letter_rra	ಱ	0xcb1	kannada_letter_rra	റ	0xd31	malayalam_letter_rra	න	0xdb1	sinhala_letter_dantaja_nayanna	
